"Location or Address","Location - Remarks","Property Owner",Public,Private,"New Tag #","Old Tag #","DBH ("")","General Condition of Crown","Foliage Quality","Structural Quality","Deadwood Present","Quality Tree",Remarks,Maintenance Performed
179 Perkins St South side,"",Martindale,X,"",1 17,255,39,"","",G,G,F,F,"","Small DW, Large damaged leader",Remover leader; 1 cable
166 Perkins St North side,"",Alston,"",X,1 18,"",10,"","",G,G,G,G,"","",""
160 Perkins St North side,"",Gminski,X,"",1 19,"",59,"","",G,G,G,G,,"",Pruned
1 Court St South side,"",Tschinkel,"",X,1 20,"",8,"","",G,G,G,G,"","",""
1 Court St South side,"",Tschinkel,"",X,1 21,"",9 11,"","",G,G,F,G,"",Poor low crotch structure,""
7 Court St South side,"",Warker,"",X,1 22,"",20,"","",G,G,G,G,"","",""
7 Court St South side,"",Warker,"",X,1 23,"",15,"","",G,F,G,G,"",Small DW,""
7 Court St South side,"",Warker,"",X,1 24,"",16 17,"","",G,G,F,G,"",Small DW,""
181 Perkins St South side,"",Rogers,"",X,1 25,"",34,"","",G,G,G,G,"",Small DW,""
181 Perkins St South side,"",Rogers,"",X,1 26,253,53,"","",G,F,P,G,"","Large cavity, Install 1 cable",""
185 Perkins St South side,"",Pott,"",X,1 28,"",58,G,G,F,G,"","",""
191 Perkins St South side,"",Rogers,"",X,1 29,"",21,G,G,G,G,"",Root damage,""
191 Perkins St South side,"",Rogers,"",X,1 30,"",16 14,G,G,G,G,"","",""
2 Pleasant St West side,"",Wiseman,"",X,1 31,"",19,G,G,G,G,"","",""
4 Pleasant St West side,"",Casteen,X,"",1 32,"",63,G,G,VP,P,"","Large DW, Multiple cavaties",Pruned; 1 cable
Pleasant St West side,197 Perkins St,Bartlett,X,"",1 33,"",6,G,G,G,G,"","",""
Pleasant St West side,200 Perkins St,Coughlin,X,"",1 34,"",8 8 8 8 8,G,G,F,G,"","",""
Pleasant St West side,196 Perkins St,McKeehan,"",X,1 35,296,29,G,G,P,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 36,"",20 13,G,G,F,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 37,352,13 10,G,G,F,G,"","",""
31 Court St South side,"",Kaden,"",X,1 38,"",31,G,G,F,F,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 39,"",14,G,G,G,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 40,"",8,G,G,G,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 41,"",16,G,G,G,G,"","",""
196 Perkins St North side,"",McKeehan,"",X,1 42,"",21,G,G,P,G,"","",""
192 Perkins St North side,"",Gibbons,"",X,1 43,"",16 16 16 16 16,F,G,F,F,"","",""
188 Perkins St North side,"",Mills,"",X,1 44,"",15,G,G,G,G,"","",""
11 Dressers Ln East side,"",Fenton,X,"",1 45,151,24,G,G,G,F,"","",Pruned
- Court St South side,11 Dressers Lane,Fenton,X,"",1 46,"",45,F,G,G,F,,"",Pruned
- Court St South side,11 Dressers Lane,Fenton,X,"",1 47,149,50,G,G,G,F,,"",""
